YEAR,Date,From US,From Britain
2004,10/01/2004,2,0
2004,17/01/2004,2,16
2004,24/01/2004,3,16
2004,31/01/2004,2,17
2004,07/02/2004,3,18
2004,14/02/2004,2,17
2004,21/02/2004,3,17
2004,28/02/2004,4,22
2004,06/03/2004,2,26
2004,13/03/2004,4,16
2004,20/03/2004,5,16
2004,27/03/2004,6,16
2004,03/04/2004,2,16
2004,10/04/2004,3,25
2004,17/04/2004,5,47
2004,24/04/2004,3,15
2004,01/05/2004,2,15
2004,08/05/2004,3,16
2004,15/05/2004,3,15
2004,22/05/2004,2,15
2004,29/05/2004,3,15
2004,05/06/2004,2,15
2004,12/06/2004,3,15
2004,19/06/2004,6,15
2004,26/06/2004,4,14
2004,03/07/2004,3,14
2004,10/07/2004,2,14
2004,17/07/2004,3,15
2004,24/07/2004,4,15
2004,31/07/2004,4,16
2004,07/08/2004,3,18
2004,14/08/2004,2,19
2004,21/08/2004,1,21
2004,28/08/2004,2,22
2004,04/09/2004,3,24
2004,11/09/2004,3,14
2004,18/09/2004,4,20
2004,25/09/2004,2,26
2004,02/10/2004,3,13
2004,09/10/2004,1,13
2004,16/10/2004,3,12
2004,23/10/2004,3,12
2004,30/10/2004,2,12
2004,06/11/2004,47,12
2004,13/11/2004,17,18
2004,20/11/2004,14,14
2004,27/11/2004,6,12
2004,04/12/2004,8,23
2004,11/12/2004,8,18
2004,18/12/2004,3,18
2004,25/12/2004,3,18
2005,01/01/2005,3,18
2005,08/01/2005,2,18
2005,15/01/2005,2,19
2005,22/01/2005,2,21
2005,29/01/2005,2,10
2005,05/02/2005,3,10
2005,12/02/2005,4,10
2005,19/02/2005,4,13
2005,26/02/2005,4,15
2005,05/03/2005,1,10
2005,12/03/2005,3,10
2005,19/03/2005,1,10
2005,26/03/2005,2,10
2005,02/04/2005,3,10
2005,09/04/2005,1,15
2005,16/04/2005,1,9
2005,23/04/2005,3,9
2005,30/04/2005,4,18
2005,07/05/2005,2,10
2005,14/05/2005,3,9
2005,21/05/2005,3,18
2005,28/05/2005,1,19
2005,04/06/2005,2,31
2005,11/06/2005,1,14
2005,18/06/2005,3,9
2005,25/06/2005,2,9
2005,02/07/2005,3,9
2005,09/07/2005,3,9
2005,16/07/2005,2,19
2005,23/07/2005,2,9
2005,30/07/2005,2,9
2005,06/08/2005,2,10
2005,13/08/2005,1,10
2005,20/08/2005,2,14
2005,27/08/2005,2,22
2005,03/09/2005,1,20
2005,10/09/2005,3,9
2005,17/09/2005,1,13
2005,24/09/2005,2,8
2005,01/10/2005,4,8
2005,08/10/2005,1,8
2005,15/10/2005,2,8
2005,22/10/2005,3,15
2005,29/10/2005,2,16
2005,05/11/2005,3,9
2005,12/11/2005,4,9
2005,19/11/2005,1,11
2005,26/11/2005,2,9
2005,03/12/2005,2,17
2005,10/12/2005,1,11
2005,17/12/2005,2,23
2005,24/12/2005,3,35
2005,31/12/2005,2,47
2006,07/01/2006,2,7
2006,14/01/2006,1,10
2006,21/01/2006,1,9
2006,28/01/2006,2,19
2006,04/02/2006,2,6
2006,11/02/2006,2,9
2006,18/02/2006,2,15
2006,25/02/2006,2,9
2006,04/03/2006,3,14
2006,11/03/2006,1,9
2006,18/03/2006,3,6
2006,25/03/2006,2,6
2006,01/04/2006,2,6
2006,08/04/2006,1,6
2006,15/04/2006,1,7
2006,22/04/2006,1,20
2006,29/04/2006,1,9
2006,06/05/2006,2,9
2006,13/05/2006,2,6
2006,20/05/2006,1,6
2006,27/05/2006,2,6
2006,03/06/2006,2,7
2006,10/06/2006,2,6
2006,17/06/2006,1,6
2006,24/06/2006,2,6
2006,01/07/2006,2,9
2006,08/07/2006,1,6
2006,15/07/2006,1,6
2006,22/07/2006,2,6
2006,29/07/2006,1,6
2006,05/08/2006,2,12
2006,12/08/2006,3,12
2006,19/08/2006,1,23
2006,26/08/2006,3,14
2006,02/09/2006,2,6
2006,09/09/2006,2,6
2006,16/09/2006,2,5
2006,23/09/2006,3,8
2006,30/09/2006,1,5
2006,07/10/2006,2,8
2006,14/10/2006,1,5
2006,21/10/2006,1,5
2006,28/10/2006,2,5
2006,04/11/2006,2,5
2006,11/11/2006,2,5
2006,18/11/2006,1,9
2006,25/11/2006,1,5
2006,02/12/2006,2,5
2006,09/12/2006,1,5
2006,16/12/2006,2,12
2006,23/12/2006,2,5
2006,30/12/2006,1,11
2007,06/01/2007,1,8
2007,13/01/2007,2,12
2007,20/01/2007,2,5
2007,27/01/2007,2,10
2007,03/02/2007,2,7
2007,10/02/2007,1,12
2007,17/02/2007,1,8
2007,24/02/2007,1,12
2007,03/03/2007,2,5
2007,10/03/2007,2,14
2007,17/03/2007,2,8
2007,24/03/2007,2,6
2007,31/03/2007,1,10
2007,07/04/2007,1,5
2007,14/04/2007,2,9
2007,21/04/2007,1,12
2007,28/04/2007,1,4
2007,05/05/2007,2,10
2007,12/05/2007,1,15
2007,19/05/2007,1,4
2007,26/05/2007,2,4
2007,02/06/2007,2,4
2007,09/06/2007,2,6
2007,16/06/2007,2,7
2007,23/06/2007,2,6
2007,30/06/2007,2,7
2007,07/07/2007,5,9
2007,14/07/2007,3,7
2007,21/07/2007,3,4
2007,28/07/2007,2,12
2007,04/08/2007,4,12
2007,11/08/2007,2,6
2007,18/08/2007,2,6
2007,25/08/2007,2,12
2007,01/09/2007,3,5
2007,08/09/2007,2,6
2007,15/09/2007,2,6
2007,22/09/2007,3,5
2007,29/09/2007,2,6
2007,06/10/2007,2,3
2007,13/10/2007,1,7
2007,20/10/2007,2,7
2007,27/10/2007,2,7
2007,03/11/2007,2,6
2007,10/11/2007,2,6
2007,17/11/2007,3,7
2007,24/11/2007,3,5
2007,01/12/2007,2,5
2007,08/12/2007,3,5
2007,15/12/2007,3,3
2007,22/12/2007,3,7
2007,29/12/2007,3,8
2008,05/01/2008,3,11
2008,12/01/2008,3,11
2008,19/01/2008,2,5
2008,26/01/2008,3,7
2008,02/02/2008,2,10
2008,09/02/2008,2,10
2008,16/02/2008,3,8
2008,23/02/2008,2,10
2008,01/03/2008,1,8
2008,08/03/2008,2,10
2008,15/03/2008,2,10
2008,22/03/2008,1,12
2008,29/03/2008,2,10
2008,05/04/2008,3,9
2008,12/04/2008,2,9
2008,19/04/2008,3,6
2008,26/04/2008,2,11
2008,03/05/2008,2,4
2008,10/05/2008,3,3
2008,17/05/2008,2,14
2008,24/05/2008,2,8
2008,31/05/2008,5,6
2008,07/06/2008,3,3
2008,14/06/2008,3,11
2008,21/06/2008,2,8
2008,28/06/2008,4,7
2008,05/07/2008,4,44
2008,12/07/2008,3,22
2008,19/07/2008,1,24
2008,26/07/2008,2,10
2008,02/08/2008,2,13
2008,09/08/2008,3,14
2008,16/08/2008,3,5
2008,23/08/2008,3,6
2008,30/08/2008,2,14
2008,06/09/2008,3,14
2008,13/09/2008,6,10
2008,20/09/2008,5,10
2008,27/09/2008,4,4
2008,04/10/2008,4,10
