Year,Date,From US,From Britain,From US previous,From Britain previous
2004,37996,2,0,0,0
2004,38003,2,16,2,0
2004,38010,3,16,2,16
2004,38017,2,17,3,16
2004,38024,3,18,2,17
2004,38031,2,17,3,18
2004,38038,3,17,2,17
2004,38045,4,22,3,17
2004,38052,2,26,4,22
2004,38059,4,16,2,26
2004,38066,5,16,4,16
2004,38073,6,16,5,16
2004,38080,2,16,6,16
2004,38087,3,25,2,16
2004,38094,5,47,3,25
2004,38101,3,15,5,47
2004,38108,2,15,3,15
2004,38115,3,16,2,15
2004,38122,3,15,3,16
2004,38129,2,15,3,15
2004,38136,3,15,2,15
2004,38143,2,15,3,15
2004,38150,3,15,2,15
2004,38157,6,15,3,15
2004,38164,4,14,6,15
2004,38171,3,14,4,14
2004,38178,2,14,3,14
2004,38185,3,15,2,14
2004,38192,4,15,3,15
2004,38199,4,16,4,15
2004,38206,3,18,4,16
2004,38213,2,19,3,18
2004,38220,1,21,2,19
2004,38227,2,22,1,21
2004,38234,3,24,2,22
2004,38241,3,14,3,24
2004,38248,4,20,3,14
2004,38255,2,26,4,20
2004,38262,3,13,2,26
2004,38269,1,13,3,13
2004,38276,3,12,1,13
2004,38283,3,12,3,12
2004,38290,2,12,3,12
2004,38297,47,12,2,12
2004,38304,17,18,47,12
2004,38311,14,14,17,18
2004,38318,6,12,14,14
2004,38325,8,23,6,12
2004,38332,8,18,8,23
2004,38339,3,18,8,18
2004,38346,3,18,3,18
2005,38353,3,18,3,18
2005,38360,2,18,3,18
2005,38367,2,19,2,18
2005,38374,2,21,2,19
2005,38381,2,10,2,21
2005,38388,3,10,2,10
2005,38395,4,10,3,10
2005,38402,4,13,4,10
2005,38409,4,15,4,13
2005,38416,1,10,4,15
2005,38423,3,10,1,10
2005,38430,1,10,3,10
2005,38437,2,10,1,10
2005,38444,3,10,2,10
2005,38451,1,15,3,10
2005,38458,1,9,1,15
2005,38465,3,9,1,9
2005,38472,4,18,3,9
2005,38479,2,10,4,18
2005,38486,3,9,2,10
2005,38493,3,18,3,9
2005,38500,1,19,3,18
2005,38507,2,31,1,19
2005,38514,1,14,2,31
2005,38521,3,9,1,14
2005,38528,2,9,3,9
2005,38535,3,9,2,9
2005,38542,3,9,3,9
2005,38549,2,19,3,9
2005,38556,2,9,2,19
2005,38563,2,9,2,9
2005,38570,2,10,2,9
2005,38577,1,10,2,10
2005,38584,2,14,1,10
2005,38591,2,22,2,14
2005,38598,1,20,2,22
2005,38605,3,9,1,20
2005,38612,1,13,3,9
2005,38619,2,8,1,13
2005,38626,4,8,2,8
2005,38633,1,8,4,8
2005,38640,2,8,1,8
2005,38647,3,15,2,8
2005,38654,2,16,3,15
2005,38661,3,9,2,16
2005,38668,4,9,3,9
2005,38675,1,11,4,9
2005,38682,2,9,1,11
2005,38689,2,17,2,9
2005,38696,1,11,2,17
2005,38703,2,23,1,11
2005,38710,3,35,2,23
2005,38717,2,47,3,35
2006,38724,2,7,2,47
2006,38731,1,10,2,7
2006,38738,1,9,1,10
2006,38745,2,19,1,9
2006,38752,2,6,2,19
2006,38759,2,9,2,6
2006,38766,2,15,2,9
2006,38773,2,9,2,15
2006,38780,3,14,2,9
2006,38787,1,9,3,14
2006,38794,3,6,1,9
2006,38801,2,6,3,6
2006,38808,2,6,2,6
2006,38815,1,6,2,6
2006,38822,1,7,1,6
2006,38829,1,20,1,7
2006,38836,1,9,1,20
2006,38843,2,9,1,9
2006,38850,2,6,2,9
2006,38857,1,6,2,6
2006,38864,2,6,1,6
2006,38871,2,7,2,6
2006,38878,2,6,2,7
2006,38885,1,6,2,6
2006,38892,2,6,1,6
2006,38899,2,9,2,6
2006,38906,1,6,2,9
2006,38913,1,6,1,6
2006,38920,2,6,1,6
2006,38927,1,6,2,6
2006,38934,2,12,1,6
2006,38941,3,12,2,12
2006,38948,1,23,3,12
2006,38955,3,14,1,23
2006,38962,2,6,3,14
2006,38969,2,6,2,6
2006,38976,2,5,2,6
2006,38983,3,8,2,5
2006,38990,1,5,3,8
2006,38997,2,8,1,5
2006,39004,1,5,2,8
2006,39011,1,5,1,5
2006,39018,2,5,1,5
2006,39025,2,5,2,5
2006,39032,2,5,2,5
2006,39039,1,9,2,5
2006,39046,1,5,1,9
2006,39053,2,5,1,5
2006,39060,1,5,2,5
2006,39067,2,12,1,5
2006,39074,2,5,2,12
2006,39081,1,11,2,5
